fight_fighter,opponent,fight_result,kd,str,td,sub,event,event_date,method,round,time
Shinya Aoki,George Sotiropoulos,win,0 0,1 6,0 0,4 0,Shooto - Champion Carnival,"Oct. 14, 2006",DQ,2,0:05
Shinya Aoki,Jason Black,win,0 0,2 0,0 0,1 0,PRIDE Bushido 12,"Aug. 27, 2006",SUB Triangle Choke,1,1:58
Shinya Aoki,Kuniyoshi Hironaka,win,0 0,13 2,0 0,2 0,Shooto 2005 11/6,"Nov. 06, 2005",KO/TKO,1,2:10
Shinya Aoki,Keith Wisniewski,win,0 0,1 8,0 0,1 0,Shooto 2005 1/29,"Jan. 29, 2005",SUB Other - Lock,1,2:22
Shinya Aoki,Jutaro Nakao,loss,0 1,4 5,2 0,0 0,DEEP 16,"Oct. 30, 2004",KO/TKO Punch,1,4:29
Aoriqileng,Cody Gibson,win,1 0,5 3,0 0,0 0,UFC Fight Night: De Ridder vs. Allen,"Oct. 18, 2025",KO/TKO Punch,1,0:21
Aoriqileng,Raul Rosas Jr.,loss,0 0,22 41,0 3,0 0,UFC 306: Riyadh Season Noche UFC,"Sep. 14, 2024",U-DEC,3,5:00
Aoriqileng,Daniel Marcos,nc,0 0,45 81,0 0,0 0,UFC Fight Night: Hermansson vs. Pyfer,"Feb. 10, 2024",CNC,2,3:28
Aoriqileng,Johnny Munoz,win,1 0,44 7,2 4,0 3,UFC Fight Night: Dawson vs. Green,"October. 07, 2023",U-DEC,3,5:00
Aoriqileng,Aiemann Zahabi,loss,0 1,5 5,0 0,0 0,UFC 289: Nunes vs. Aldana,"Jun. 10, 2023",KO/TKO Punch,1,1:04
Aoriqileng,Jay Perrin,win,0 0,72 88,0 3,0 0,UFC 278: Usman vs. Edwards,"Aug. 20, 2022",U-DEC,3,5:00
Aoriqileng,Cameron Else,win,1 0,37 6,1 0,0 0,UFC Fight Night: Lemos vs. Andrade,"Apr. 23, 2022",KO/TKO Punches,1,2:48
Aoriqileng,Cody Durden,loss,0 0,65 60,1 5,0 0,UFC Fight Night: Vieira vs. Tate,"Nov. 20, 2021",U-DEC,3,5:00
Aoriqileng,Jeff Molina,loss,0 2,116 189,3 0,0 0,UFC 261: Usman vs. Masvidal 2,"Apr. 24, 2021",U-DEC,3,5:00
Josh Appelt,Jeff Hughes,loss,0 1,6 51,0 2,0 0,DWCS 2.6,"Jul. 24, 2018",KO/TKO Punch,1,4:26
Erik Apple,Ryan Larson,loss,-- --,-- --,-- --,-- --,Strikeforce Challengers 14,"February. 18, 2011",SUB Triangle Choke,2,3:14
Erik Apple,Bobby Voelker,loss,-- --,-- --,-- --,-- --,Strikeforce Challengers 5,"Nov. 20, 2009",KO/TKO Punches,2,1:23
Erik Apple,Brock Larson,loss,0 0,0 2,0 1,2 2,WEC 26: Condit vs. Alessio,"Mar. 24, 2007",SUB Kimura,1,3:43
Kenji Arai,Jens Pulver,loss,0 1,35 41,0 0,0 0,PRIDE Bushido 10,"Apr. 2, 2006",KO/TKO Kick,1,3:59
Romie Aram,Dave Strasser,loss,1 0,24 60,2 1,0 0,UFC 42: Sudden Impact,"Apr. 25, 2003",U-DEC,3,5:00
Romie Aram,Joe Stevenson,win,0 0,30 25,3 0,0 2,KOTC 17: San Jacinto,"October. 19, 2002",U-DEC,3,5:00
Felipe Arantes,Song Yadong,loss,0 1,8 39,0 1,0 1,UFC Fight Night: Cowboy vs. Edwards,"Jun. 23, 2018",KO/TKO Elbow,2,4:59
Felipe Arantes,Josh Emmett,loss,0 4,43 67,0 1,0 0,UFC Fight Night: Cerrone vs. Till,"Oct. 21, 2017",U-DEC,3,5:00
Felipe Arantes,Erik Perez,loss,0 0,34 36,0 3,2 0,UFC Fight Night: Dos Anjos vs. Ferguson,"Nov. 05, 2016",S-DEC,3,5:00
Felipe Arantes,Jerrod Sanders,win,0 0,3 6,0 1,1 0,UFC Fight Night: Dos Anjos vs. Alvarez,"Jul. 07, 2016",SUB Armbar,2,1:39
Felipe Arantes,Yves Jabouin,win,0 0,4 5,0 2,1 0,UFC Fight Night: Holloway vs Oliveira,"Aug. 23, 2015",SUB Armbar,1,4:21
Felipe Arantes,Andre Fili,loss,0 0,29 42,3 5,1 1,UFC 179: Aldo vs Mendes 2,"Oct. 25, 2014",U-DEC,3,5:00
Felipe Arantes,Maximo Blanco,win,1 0,39 44,1 3,1 0,UFC Fight Night: Machida vs Mousasi,"Feb. 15, 2014",U-DEC,3,5:00
Felipe Arantes,Edimilson Souza,loss,0 0,35 52,3 0,1 0,UFC Fight Night: Teixeira vs Bader,"Sep. 4, 2013",S-DEC,3,5:00
Felipe Arantes,Godofredo Pepey,win,0 0,27 4,0 1,0 0,UFC on FUEL TV: Nogueira vs. Werdum,"Jun. 08, 2013",KO/TKO Elbows,1,3:32
Felipe Arantes,Milton Vieira,draw,0 0,38 30,2 1,0 0,UFC 147: Silva vs Franklin 2,"Jun. 23, 2012",S-DEC,3,5:00
Felipe Arantes,Antonio Carvalho,win,0 0,53 37,0 0,0 0,UFC 142: Aldo vs Mendes,"January. 14, 2012",U-DEC,3,5:00
Felipe Arantes,Iuri Alcantara,loss,0 0,29 22,0 6,0 0,UFC 134: Silva vs Okami,"Aug. 27, 2011",U-DEC,3,5:00
Igor Araujo,Sean Strickland,loss,0 1,39 71,0 3,0 2,UFC Fight Night: Mir vs Duffee,"Jul. 15, 2015",U-DEC,3,5:00
Igor Araujo,George Sullivan,loss,0 0,8 43,2 1,0 0,UFC Fight Night: Bigfoot vs Arlovski,"Sep. 13, 2014",KO/TKO Punch,2,2:31
Igor Araujo,Danny Mitchell,win,0 0,12 18,0 0,1 5,UFC Fight Night: Gustafsson vs Manuwa,"March. 08, 2014",U-DEC,3,5:00
Igor Araujo,Ildemar Alcantara,win,0 0,21 18,1 3,1 3,UFC Fight Night: Maia vs Shields,"Oct. 9, 2013",U-DEC,3,5:00
Viviane Araujo,Tracy Cortez,loss,0 0,22 65,0 3,0 1,UFC 317: Topuria vs. Oliveira,"Jun. 28, 2025",U-DEC,3,5:00
Viviane Araujo,Karine Silva,win,0 0,48 58,3 1,1 1,UFC 309: Jones vs. Miocic,"Nov. 16, 2024",U-DEC,3,5:00
Viviane Araujo,Natalia Silva,loss,0 0,26 38,1 0,0 0,UFC Fight Night: Dolidze vs. Imavov,"Feb. 3, 2024",U-DEC,3,5:00
Viviane Araujo,Jennifer Maia,win,0 0,24 41,2 2,1 0,UFC Fight Night: Yusuff vs. Barboza,"October. 14, 2023",U-DEC,3,5:00
Viviane Araujo,Amanda Ribas,loss,0 0,46 98,0 2,2 0,UFC 285: Jones vs. Gane,"Mar. 04, 2023",U-DEC,3,5:00
Viviane Araujo,Alexa Grasso,loss,0 0,126 153,2 0,0 0,UFC Fight Night: Grasso vs. Araujo,"Oct. 15, 2022",U-DEC,5,5:00
Viviane Araujo,Andrea Lee,win,0 1,39 47,3 1,2 0,UFC Fight Night: Blachowicz vs. Rakic,"May. 14, 2022",U-DEC,3,5:00
Viviane Araujo,Katlyn Cerminara,loss,0 0,89 127,1 0,1 0,UFC 262: Oliveira vs. Chandler,"May. 15, 2021",U-DEC,3,5:00
Viviane Araujo,Roxanne Modafferi,win,0 0,86 46,4 0,1 0,UFC Fight Night: Chiesa vs. Magny,"Jan. 20, 2021",U-DEC,3,5:00
Viviane Araujo,Montana De La Rosa,win,0 0,82 85,0 1,0 0,UFC Fight Night: Overeem vs. Sakai,"Sep. 5, 2020",U-DEC,3,5:00
Viviane Araujo,Jessica Eye,loss,0 0,56 98,2 0,0 0,UFC 245: Usman vs. Covington,"Dec. 14, 2019",U-DEC,3,5:00
Viviane Araujo,Alexis Davis,win,0 0,67 68,2 0,0 0,UFC 240: Holloway vs. Edgar,"Jul. 27, 2019",U-DEC,3,5:00
Viviane Araujo,Talita Bernardo,win,1 0,61 46,3 0,0 0,UFC 237: Namajunas vs. Andrade,"May. 11, 2019",KO/TKO Punch,3,0:48
Julio Arce,Herbert Burns,win,2 0,29 15,0 0,0 0,UFC Fight Night: Blanchfield vs. Fiorot,"Mar. 30, 2024",KO/TKO Punch,2,2:00
Julio Arce,Montel Jackson,loss,0 1,26 48,1 0,0 0,UFC 281: Adesanya vs. Pereira,"Nov. 12, 2022",U-DEC,3,5:00
Julio Arce,Daniel Santos,win,0 0,127 49,0 0,0 0,UFC 273: Volkanovski vs. The Korean Zombie,"Apr. 9, 2022",U-DEC,3,5:00
Julio Arce,Song Yadong,loss,0 1,13 30,0 0,0 0,UFC Fight Night: Holloway vs. Rodriguez,"Nov. 13, 2021",KO/TKO Punches,2,1:35
Julio Arce,Andre Ewell,win,0 0,42 31,0 0,0 0,UFC Fight Night: Sandhagen vs. Dillashaw,"Jul. 24, 2021",KO/TKO Punches,2,3:45
Julio Arce,Hakeem Dawodu,loss,0 0,32 55,1 0,0 0,UFC 244: Masvidal vs. Diaz,"Nov. 2, 2019",S-DEC,3,5:00
Julio Arce,Julian Erosa,win,1 0,74 43,1 0,0 0,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",KO/TKO Kick,3,1:49
Julio Arce,Sheymon Moraes,loss,0 2,25 32,1 0,2 0,UFC 230: Cormier vs. Lewis,"Nov. 03, 2018",S-DEC,3,5:00
Julio Arce,Daniel Teymur,win,0 0,63 37,0 0,1 0,UFC Fight Night: Rivera vs. Moraes,"Jun. 01, 2018",SUB Rear Naked Choke,3,2:55
Julio Arce,Dan Ige,win,0 0,72 35,0 1,0 0,UFC 220: Miocic vs. Ngannou,"Jan. 20, 2018",U-DEC,3,5:00
Julio Arce,Peter Petties,win,0 0,63 20,0 0,0 0,DWCS 1.5,"Aug. 8, 2017",KO/TKO Punches,2,2:39
,,,,,,,,,,,
Alice Ardelean,Montserrat Conejo Ruiz,win,0 0,138 85,1 1,0 0,UFC Fight Night: Garcia vs. Onama,"Nov. 1, 2025",U-DEC,3,5:00
Alice Ardelean,Rayanne dos Santos,win,0 0,154 78,1 1,0 0,UFC Fight Night: Blanchfield vs. Barber,"May. 31, 2025",U-DEC,3,5:00
Alice Ardelean,Melissa Martinez,loss,0 0,92 72,0 0,0 0,UFC Fight Night: Hernandez vs. Pereira,"Oct. 19, 2024",U-DEC,3,5:00
Alice Ardelean,Shauna Bannon,loss,0 0,57 77,2 0,0 0,UFC 304: Edwards vs. Muhammad 2,"Jul. 27, 2024",S-DEC,3,5:00
Tristan Arenal,Tommy Petersen,win,-- --,-- --,-- --,-- --,Strikeforce Challengers 15,"Apr. 01, 2011",SUB Armbar,1,1:58
,,,,,,,,,,,
Dan Argueta,Cody Haddon,loss,0 0,54 140,4 2,1 0,UFC Fight Night: Royval vs. Taira,"Oct. 12, 2024",U-DEC,3,5:00
Dan Argueta,Jean Matsumoto,loss,0 0,14 19,9 2,0 1,UFC Fight Night: Allen vs. Curtis 2,"Apr. 6, 2024",SUB Guillotine Choke,2,4:59
Dan Argueta,Miles Johns,nc,0 0,33 43,2 2,2 0,UFC Fight Night: Fiziev vs. Gamrot,"Sep. 23, 2023",Overturned,3,5:00
Dan Argueta,Ronnie Lawrence,nc,0 0,4 1,1 0,2 0,UFC Fight Night: Vettori vs. Cannonier,"Jun. 17, 2023",Overturned,1,2:20
Dan Argueta,Nick Aguirre,win,0 0,47 14,4 0,2 1,UFC Fight Night: Strickland vs. Imavov,"Jan. 14, 2023",U-DEC,3,5:00
Dan Argueta,Damon Jackson,loss,0 0,27 32,1 2,0 1,UFC Fight Night: Volkov vs. Rozenstruik,"Jun. 04, 2022",U-DEC,3,5:00
,,,,,,,,,,,
Hashem Arkhagha,AJ Dobson,loss,0 1,8 39,0 1,0 1,DWCS 5.4,"Sep. 21, 2021",SUB Rear Naked Choke,1,4:21
Andrei Arlovski,Martin Buday,loss,0 0,74 54,0 0,0 0,UFC 303: Pereira vs. Prochazka 2,"Jun. 29, 2024",S-DEC,3,5:00
Andrei Arlovski,Waldo Cortes Acosta,loss,0 0,58 49,0 0,0 0,UFC Fight Night: Ankalaev vs. Walker 2,"Jan. 13, 2024",U-DEC,3,5:00
Andrei Arlovski,Don'Tale Mayes,loss,0 1,24 25,0 0,0 0,UFC Fight Night: Kara-France vs. Albazi,"Jun. 3, 2023",KO/TKO Punch,2,3:17
Andrei Arlovski,Marcos Rogerio de Lima,loss,0 1,2 6,0 0,0 1,UFC Fight Night: Kattar vs. Allen,"Oct. 29, 2022",SUB Rear Naked Choke,1,1:50
Andrei Arlovski,Jake Collier,win,0 0,91 93,0 2,0 0,UFC Fight Night: Font vs. Vera,"Apr. 30, 2022",S-DEC,3,5:00
Andrei Arlovski,Jared Vanderaa,win,0 0,64 70,0 0,0 0,UFC 271: Adesanya vs. Whittaker 2,"Feb. 12, 2022",S-DEC,3,5:00
Andrei Arlovski,Carlos Felipe,win,0 0,83 73,0 0,0 0,UFC Fight Night: Ladd vs. Dumont,"Oct. 16, 2021",U-DEC,3,5:00
Andrei Arlovski,Chase Sherman,win,0 0,105 88,0 0,0 0,UFC Fight Night: Whittaker vs. Gastelum,"Apr. 17, 2021",U-DEC,3,5:00
Andrei Arlovski,Tom Aspinall,loss,0 0,20 37,0 1,0 1,UFC Fight Night: Blaydes vs. Lewis,"Feb. 20, 2021",SUB Rear Naked Choke,2,1:09
Andrei Arlovski,Tanner Boser,win,0 0,34 68,0 0,0 0,UFC Fight Night: Santos vs. Teixeira,"Nov. 7, 2020",U-DEC,3,5:00
Andrei Arlovski,Philipe Lins,win,0 0,50 41,0 0,0 0,UFC Fight Night: Smith vs. Teixeira,"May. 13, 2020",U-DEC,3,5:00
Andrei Arlovski,Jairzinho Rozenstruik,loss,0 1,4 5,0 0,0 0,UFC 244: Masvidal vs. Diaz,"Nov. 02, 2019",KO/TKO Punch,1,0:29
Andrei Arlovski,Ben Rothwell,win,0 0,152 70,0 0,0 0,UFC Fight Night: Dos Anjos vs. Edwards,"Jul. 20, 2019",U-DEC,3,5:00
Andrei Arlovski,Augusto Sakai,loss,0 0,75 42,0 0,0 0,UFC Fight Night: Jacare vs. Hermansson,"Apr. 27, 2019",S-DEC,3,5:00
