fight_fighter,opponent,fight_result,kd,str,td,sub,event,event_date,method,round,time
Sean O'Connell,Gian Villante,loss,1 0,109 93,0 0,2 0,UFC Fight Night: Te Huna vs Marquardt,"June. 28, 2014",S-DEC,3,5:00
Sean O'Connell,Ryan Jimmo,loss,0 1,15 20,0 1,0 0,UFC Fight Night: Bisping vs Kennedy,"April. 16, 2014",KO/TKO Punch,1,4:27
,,,,,,,,,,,
Sean O'Haire,Eric Esch,loss,0 1,4 11,0 0,0 0,PRIDE 32: The Real Deal,"October. 21, 2006",KO/TKO Punches,1,0:29
Sean O'Malley,Merab Dvalishvili,loss,0 0,31 52,0 5,0 1,UFC 316: Dvalishvili vs. O'Malley 2,,SUB Guillotine Choke,3,4:42
Sean O'Malley,Merab Dvalishvili,loss,0 0,47 82,0 6,0 0,UFC 306: Riyadh Season Noche UFC,,U-DEC,5,5:00
Sean O'Malley,Marlon Vera,win,0 0,230 89,0 0,0 0,UFC 299: O'Malley vs. Vera 2,,U-DEC,5,5:00
Sean O'Malley,Aljamain Sterling,win,1 0,25 17,0 0,0 0,UFC 292: Sterling vs. O'Malley,,KO/TKO Punches,2,0:51
Sean O'Malley,Petr Yan,win,0 0,84 58,0 6,0 0,UFC 280: Oliveira vs. Makhachev,"October. 22, 2022",S-DEC,3,5:00
Sean O'Malley,Pedro Munhoz,nc,0 0,25 26,0 0,0 0,UFC 276: Adesanya vs. Cannonier,"July. 2, 2022",CNC,2,3:09
Sean O'Malley,Raulian Paiva,win,1 0,39 11,0 0,0 0,UFC 269: Oliveira vs. Poirier,"December. 11, 2021",KO/TKO Punches,1,4:42
Sean O'Malley,Kris Moutinho,win,1 0,230 70,0 0,0 0,UFC 264: Poirier vs. McGregor 3,"July. 10, 2021",KO/TKO Punches,3,4:33
Sean O'Malley,Thomas Almeida,win,2 0,86 25,0 1,0 0,UFC 260: Miocic vs. Ngannou,"March. 27, 2021",KO/TKO Punch,3,3:52
Sean O'Malley,Marlon Vera,loss,0 0,10 18,0 0,0 0,UFC 252: Miocic vs. Cormier 3,"August. 15, 2020",KO/TKO Elbows,1,4:40
Sean O'Malley,Eddie Wineland,win,1 0,13 4,0 0,0 0,UFC 250: Nunes vs. Spencer,"June. 6, 2020",KO/TKO Punch,1,1:54
Sean O'Malley,Jose Quinonez,win,0 0,18 0,0 0,0 0,UFC 248: Adesanya vs. Romero,"March. 7, 2020",KO/TKO Punches,1,2:02
Sean O'Malley,Andre Soukhamthath,win,0 0,63 25,0 4,3 0,UFC 222: Cyborg vs. Kunitskaya,"March. 3, 2018",U-DEC,3,5:00
Sean O'Malley,Terrion Ware,win,0 0,141 88,3 0,0 0,The Ultimate Fighter: A New World Champion Finale,"December. 1, 2017",U-DEC,3,5:00
Sean O'Malley,Alfred Khashakyan,win,2 0,27 26,0 1,0 0,DWCS 1.2,"July. 18, 2017",KO/TKO Punch,1,4:14
,,,,,,,,,,,
Chuck O'Neil,Chris Cope,loss,0 0,47 66,0 0,0 0,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,"June. 4, 2011",U-DEC,3,5:00
Casey O'Neill,Luana Santos,win,0 0,83 41,0 1,1 0,UFC 305: Du Plessis vs. Adesanya,"August. 17, 2024",U-DEC,3,5:00
Casey O'Neill,Ariane da Silva,loss,0 0,31 64,0 1,0 1,UFC 296: Edwards vs. Covington,"December. 16, 2023",SUB Armbar,2,1:18
Casey O'Neill,Jennifer Maia,loss,0 0,137 145,0 0,0 0,UFC 286: Edwards vs. Usman 3,"March. 18, 2023",U-DEC,3,5:00
Casey O'Neill,Roxanne Modafferi,win,0 0,229 120,0 2,0 0,UFC 271: Adesanya vs. Whittaker 2,"February. 12, 2022",S-DEC,3,5:00
Casey O'Neill,Antonina Shevchenko,win,0 0,52 40,3 0,0 0,UFC Fight Night: Santos vs. Walker,"October. 2, 2021",KO/TKO Punches,2,4:47
Casey O'Neill,Lara Procopio,win,0 0,71 41,1 2,2 0,UFC Fight Night: Jung vs. Ige,"June. 19, 2021",SUB Rear Naked Choke,3,2:54
Casey O'Neill,Shana Dobson,win,0 0,49 16,4 0,1 0,UFC Fight Night: Blaydes vs. Lewis,"February. 20, 2021",KO/TKO Punches,2,3:41
Brendan O'Reilly,Dong Hyun Ma,loss,0 0,25 21,0 4,1 0,The Ultimate Fighter: Tournament of Champions Finale,"December. 3, 2016",U-DEC,3,5:00
Brendan O'Reilly,Alan Jouban,loss,0 1,8 32,1 0,0 0,UFC Fight Night: Hunt vs Mir,"March. 19, 2016",KO/TKO Elbow,1,2:15
Brendan O'Reilly,Vik Grujic,win,0 0,42 59,6 1,1 1,UFC Fight Night: Miocic vs Hunt,"May. 9, 2015",U-DEC,3,5:00
Brendan O'Reilly,Zhang Lipeng,loss,0 0,15 19,0 2,0 1,UFC Fight Night: Bisping vs Le,"August. 23, 2014",U-DEC,3,5:00
Takahiro Oba,Denis Kang,loss,0 0,1 8,0 2,0 1,PRIDE Bushido 6,"April. 3, 2005",SUB Armbar,1,4:24
Nobuhiro Obiya,Luiz Firmino,loss,0 0,10 22,0 6,0 0,PRIDE Bushido 13,"November. 5, 2006",U-DEC,2,5:00
Nobuhiro Obiya,Gilbert Melendez,loss,0 2,9 54,1 4,1 0,PRIDE Bushido 12,"August. 27, 2006",U-DEC,2,5:00
Jose Ochoa,Asu Almabayev,loss,0 0,26 22,1 7,2 2,UFC Fight Night: Whittaker vs. De Ridder,"July. 26, 2025",U-DEC,3,5:00
Jose Ochoa,Cody Durden,win,1 0,30 9,0 2,0 0,UFC Fight Night: Usman vs. Buckley,"June. 14, 2025",KO/TKO Punch,2,0:11
Jose Ochoa,Lone'er Kavanagh,loss,0 0,50 51,0 0,1 0,UFC Fight Night: Yan vs. Figueiredo,"November. 23, 2024",U-DEC,3,5:00
Christian Ocon,Hunter Azure,loss,0 0,26 79,0 4,0 5,DWCS 3.3,"July. 9, 2019",U-DEC,3,5:00
,,,,,,,,,,,
Volkan Oezdemir,Alonzo Menifield,win,1 0,13 2,0 0,0 0,UFC Fight Night: Tsarukyan vs. Hooker,"November. 22, 2025",KO/TKO Punches,1,1:27
Volkan Oezdemir,Carlos Ulberg,loss,0 0,96 98,0 0,0 0,UFC Fight Night: Yan vs. Figueiredo,"November. 23, 2024",U-DEC,3,5:00
Volkan Oezdemir,Johnny Walker,win,2 0,37 15,0 0,0 0,UFC Fight Night: Whittaker vs. Aliskerov,"June. 22, 2024",KO/TKO Punch,1,2:28
Volkan Oezdemir,Bogdan Guskov,win,1 0,26 8,1 0,1 0,UFC Fight Night: Gane vs. Spivac,"September. 2, 2023",SUB Rear Naked Choke,1,3:46
Volkan Oezdemir,Nikita Krylov,loss,0 0,42 57,1 7,0 1,UFC 280: Oliveira vs. Makhachev,"October. 22, 2022",U-DEC,3,5:00
Volkan Oezdemir,Paul Craig,win,0 0,72 33,1 0,0 0,UFC Fight Night: Blaydes vs. Aspinall,"July. 23, 2022",U-DEC,3,5:00
Volkan Oezdemir,Magomed Ankalaev,loss,0 1,48 66,0 1,0 0,UFC 267: Blachowicz vs. Teixeira,"October. 30, 2021",U-DEC,3,5:00
Volkan Oezdemir,Jiri Prochazka,loss,0 1,41 33,0 0,0 0,UFC 251: Usman vs. Masvidal,"July. 11, 2020",KO/TKO Punch,2,0:49
Volkan Oezdemir,Aleksandar Rakic,win,0 0,63 75,0 1,0 1,UFC Fight Night: Edgar vs. The Korean Zombie,"December. 21, 2019",S-DEC,3,5:00
Volkan Oezdemir,Ilir Latifi,win,2 0,64 18,0 1,0 0,UFC Fight Night: Shevchenko vs. Carmouche 2,"August. 10, 2019",KO/TKO Punch,2,4:31
Volkan Oezdemir,Dominick Reyes,loss,0 0,35 44,1 0,0 0,UFC Fight Night: Till vs. Masvidal,"March. 16, 2019",S-DEC,3,5:00
Volkan Oezdemir,Anthony Smith,loss,0 0,77 63,1 1,0 2,UFC Fight Night: Oezdemir vs. Smith,"October. 27, 2018",SUB Rear Naked Choke,3,4:26
Volkan Oezdemir,Daniel Cormier,loss,0 0,38 32,0 2,0 1,UFC 220: Miocic vs. Ngannou,,KO/TKO Punches,2,2:00
Volkan Oezdemir,Jimi Manuwa,win,0 0,12 2,0 0,0 0,UFC 214: Cormier vs. Jones 2,"July. 29, 2017",KO/TKO Punches,1,0:42
Volkan Oezdemir,Misha Cirkunov,win,1 0,5 9,0 0,0 0,UFC Fight Night: Gustafsson vs. Teixeira,"May. 28, 2017",KO/TKO Punch,1,0:28
Volkan Oezdemir,Ovince Saint Preux,win,0 0,82 76,0 0,0 0,UFC Fight Night: Bermudez vs. The Korean Zombie,"February. 4, 2017",S-DEC,3,5:00
Kaan Ofli,Ricardo Ramos,win,0 0,1 1,1 0,1 3,UFC Fight Night: Oliveira vs. Gamrot,"October. 11, 2025",SUB Rear Naked Choke,1,3:02
Kaan Ofli,Muhammad Naimov,loss,0 0,31 32,0 2,0 0,UFC Fight Night: Adesanya vs. Imavov,"February. 1, 2025",U-DEC,3,5:00
Kaan Ofli,Mairon Santos,loss,0 1,12 31,0 0,0 0,UFC Fight Night: Cannonier vs. Borralho,,KO/TKO Punch,2,1:30
Naoya Ogawa,Hidehiko Yoshida,loss,0 0,7 10,0 1,0 3,PRIDE Shockwave 2005,"December. 31, 2005",SUB Armbar,1,6:04
Naoya Ogawa,Fedor Emelianenko,loss,0 0,0 7,0 0,0 1,PRIDE Final Conflict 2004,"August. 15, 2004",SUB Armbar,1,0:54
Naoya Ogawa,Paulo Cesar Silva,win,0 0,13 0,1 0,0 0,PRIDE Critical Countdown 2004,"June. 20, 2004",KO/TKO Punches,1,3:29
Naoya Ogawa,Stefan Leko,win,0 0,9 3,0 0,1 0,PRIDE Total Elimination 2004,"April. 25, 2004",SUB Arm Triangle,1,1:34
Naoya Ogawa,Masaaki Satake,win,0 0,18 39,1 0,1 0,PRIDE 11: Battle of the Rising Sun,"October. 31, 2000",SUB Rear Naked Choke,2,2:01
Naoya Ogawa,Gary Goodridge,win,0 0,14 17,2 0,3 0,PRIDE 6,"July. 4, 1999",SUB Keylock,2,0:36
Trey Ogden,Thiago Moises,loss,0 0,59 55,1 0,0 0,UFC Fight Night: Dern vs. Ribas 2,"January. 11, 2025",U-DEC,3,5:00
Trey Ogden,Loik Radzhabov,win,0 0,24 42,4 0,2 0,UFC Fight Night: Lemos vs. Jandiroba,"July. 20, 2024",U-DEC,3,5:00
Trey Ogden,Kurt Holobaugh,win,0 0,35 29,3 0,0 0,UFC Fight Night: Ribas vs. Namajunas,"March. 23, 2024",U-DEC,3,5:00
Trey Ogden,Nikolas Motta,nc,0 0,58 14,3 0,1 0,UFC Fight Night: Allen vs. Craig,"November. 18, 2023",Overturned,3,3:11
Trey Ogden,Ignacio Bahamondes,loss,0 0,42 99,0 0,0 0,UFC 287: Pereira vs. Adesanya 2,"April. 8, 2023",U-DEC,3,5:00
Trey Ogden,Daniel Zellhuber,win,0 0,71 52,1 0,0 0,UFC Fight Night: Sandhagen vs. Song,"September. 17, 2022",U-DEC,3,5:00
Trey Ogden,Jordan Leavitt,loss,0 0,41 69,1 0,2 0,UFC Fight Night: Luque vs. Muhammad,"April. 16, 2022",S-DEC,3,5:00
Andy Ogle,Makwan Amirkhani,loss,0 1,0 6,0 0,0 0,UFC on FOX: Gustafsson vs Johnson,"January. 24, 2015",KO/TKO Punches,1,0:08
Andy Ogle,Maximo Blanco,loss,0 1,44 60,1 1,0 0,UFC Fight Night: Munoz vs Mousasi,"May. 31, 2014",U-DEC,3,5:00
Andy Ogle,Charles Oliveira,loss,0 0,21 23,1 3,0 2,UFC Fight Night: Machida vs Mousasi,"February. 15, 2014",SUB Triangle Choke,3,2:40
Andy Ogle,Cole Miller,loss,0 0,27 21,2 0,0 1,UFC Fight Night: Machida vs Munoz,"October. 26, 2013",U-DEC,3,5:00
Andy Ogle,Josh Grispi,win,0 0,19 7,2 1,0 2,UFC on FUEL TV: Barao vs McDonald,"February. 16, 2013",U-DEC,3,5:00
Andy Ogle,Akira Corassani,loss,1 0,52 45,1 0,0 0,UFC on FUEL TV: Struve vs Miocic,"September. 29, 2012",S-DEC,3,5:00
,,,,,,,,,,,
Michiyoshi Ohara,Kevin Randleman,loss,0 1,7 57,0 1,0 0,PRIDE 22: Beasts from the East 2,"September. 29, 2002",U-DEC,3,5:00
Michiyoshi Ohara,Renzo Gracie,loss,0 0,4 68,0 1,0 0,PRIDE 17: Championship Chaos,"November. 3, 2001",U-DEC,3,5:00
Koji Oishi,Nick Diaz,loss,0 1,2 25,0 0,0 0,UFC 53: Heavy Hitters,"June. 4, 2005",KO/TKO Punch,1,1:24
Koji Oishi,Laverne Clark,loss,0 0,1 13,3 0,0 0,UFC 25: Ultimate Japan 3,"April. 14, 2000",M-DEC,3,5:00
Takayuki Okada,Ricco Rodriguez,loss,0 0,1 16,0 1,0 2,PRIDE 10: Return of the Warriors,"August. 27, 2000",SUB Other - Choke,1,6:04
Yushin Okami,Aleksei Kunchenko,loss,0 0,10 72,0 0,0 0,UFC Fight Night: Dos Santos vs. Tuivasa,"December. 1, 2018",U-DEC,3,5:00
Yushin Okami,Dhiego Lima,win,0 0,15 11,6 0,0 0,UFC Fight Night: Poirier vs. Gaethje,"April. 14, 2018",U-DEC,3,5:00
Yushin Okami,Ovince Saint Preux,loss,0 0,0 0,0 0,1 1,UFC Fight Night: Saint Preux vs. Okami,"September. 22, 2017",SUB Von Flue Choke,1,1:50
Yushin Okami,Jacare Souza,loss,0 1,1 28,0 0,0 0,UFC Fight Night: Teixeira vs Bader,"September. 4, 2013",KO/TKO Punch,1,2:47
Yushin Okami,Hector Lombard,win,0 0,37 45,3 0,0 0,UFC on FUEL TV: Silva vs. Stann,"March. 2, 2013",S-DEC,3,5:00
Yushin Okami,Alan Belcher,win,0 0,20 6,1 0,0 2,UFC 155: Dos Santos vs Velasquez II,"December. 29, 2012",U-DEC,3,5:00
Yushin Okami,Buddy Roberts,win,0 0,26 15,3 0,0 1,UFC 150: Henderson vs Edgar II,"August. 11, 2012",KO/TKO Punches,2,3:05
Yushin Okami,Tim Boetsch,loss,0 1,29 42,1 0,0 1,UFC 144: Edgar vs Henderson,"February. 25, 2012",KO/TKO Punches,3,0:54
Yushin Okami,Anderson Silva,loss,0 2,16 43,0 0,0 0,UFC 134: Silva vs Okami,,KO/TKO Punches,2,2:04
Yushin Okami,Nate Marquardt,win,0 0,25 21,1 3,0 2,UFC 122: Marquardt vs Okami,"November. 13, 2010",U-DEC,3,5:00
Yushin Okami,Mark Munoz,win,1 1,22 16,1 1,0 0,UFC Live: Jones vs Matyushenko,"August. 1, 2010",S-DEC,3,5:00
Yushin Okami,Lucio Linhares,win,1 0,50 8,0 0,0 0,UFC Fight Night: Florian vs Gomi,"March. 31, 2010",KO/TKO,2,2:47
Yushin Okami,Chael Sonnen,loss,0 0,25 91,0 4,1 0,UFC 104: Machida vs Shogun,"October. 24, 2009",U-DEC,3,5:00
Yushin Okami,Dean Lister,win,0 0,39 6,0 0,0 0,UFC 92: The Ultimate 2008,"December. 27, 2008",U-DEC,3,5:00
Yushin Okami,Evan Tanner,win,2 0,26 19,0 1,0 0,UFC 82: Pride of a Champion,"March. 1, 2008",KO/TKO Knee,2,3:00
Yushin Okami,Jason MacDonald,win,0 0,41 25,1 0,1 0,UFC 77: Hostile Territory,"October. 20, 2007",U-DEC,3,5:00
Yushin Okami,Rich Franklin,loss,0 0,17 36,1 1,3 0,UFC 72: Victory,"June. 16, 2007",U-DEC,3,5:00
Yushin Okami,Mike Swick,win,0 0,28 28,4 0,2 0,UFC 69: Shootout,"April. 7, 2007",U-DEC,3,5:00
Yushin Okami,Rory Singer,win,0 0,35 28,3 0,0 0,UFC 66: Liddell vs Ortiz 2,"December. 30, 2006",KO/TKO Punches,3,4:03
Yushin Okami,Kalib Starnes,win,0 0,39 19,3 0,1 1,UFC 64: Unstoppable,"October. 14, 2006",KO/TKO Punches,3,1:40
Yushin Okami,Alan Belcher,win,0 0,12 8,5 0,0 0,UFC 62: Liddell vs Sobral,"August. 26, 2006",U-DEC,3,5:00
Yushin Okami,Jake Shields,loss,0 0,22 23,1 2,0 0,ROTR 9,"April. 21, 2006",M-DEC,3,5:00
Yushin Okami,Anderson Silva,win,0 0,0 16,1 0,0 0,ROTR 8,"January. 20, 2006",DQ,1,2:33
Yushin Okami,Ryuta Sakurai,win,0 0,42 22,2 0,0 2,PRIDE Bushido 2,"February. 15, 2004",U-DEC,2,5:00
JJ Okanovich,Christian Lohsen,win,0 0,104 79,0 0,0 2,DWCS 3.5,"July. 23, 2019",U-DEC,3,5:00
Bolaji Oki,Mason Jones,loss,1 1,38 57,0 2,0 1,UFC Fight Night: Imavov vs. Borralho,"September. 6, 2025",KO/TKO Elbows,2,3:18
Bolaji Oki,Michael Aswell Jr.,win,0 0,136 118,0 0,0 0,UFC Fight Night: Blanchfield vs. Barber,"May. 31, 2025",U-DEC,3,5:00
Bolaji Oki,Chris Duncan,loss,0 0,28 10,2 0,0 1,UFC Fight Night: Moicano vs. Saint Denis,"September. 28, 2024",SUB Guillotine Choke,1,3:34
Bolaji Oki,Timmy Cuamba,win,0 0,60 33,1 1,0 0,UFC Fight Night: Hermansson vs. Pyfer,"February. 10, 2024",S-DEC,3,5:00
Bolaji Oki,Dylan Salvador,win,1 0,32 12,0 0,0 0,DWCS 7.4,"August. 29, 2023",KO/TKO Punches,1,2:46
Kazuki Okubo,Ryuichi Murata,win,0 0,18 8,0 3,2 2,PRIDE Bushido 8,"July. 17, 2005",SUB Armbar,1,9:30
Kazuki Okubo,Daijiro Matsui,loss,0 0,27 50,1 4,2 1,PRIDE 24: Cold Fury 3,"December. 23, 2002",U-DEC,3,5:00
Masakatsu Okuda,Yoshihiro Akiyama,loss,0 0,0 15,0 1,1 0,K-1 Hero's Seoul,"November. 5, 2005",KO/TKO Punches,1,3:31
Aleksei Oleinik,Ilir Latifi,loss,0 0,28 38,0 3,0 0,UFC Fight Night: Dern vs. Yan,"October. 1, 2022",U-DEC,3,5:00
Aleksei Oleinik,Jared Vanderaa,win,0 0,8 15,0 0,1 0,UFC 273: Volkanovski vs. The Korean Zombie,"April. 9, 2022",SUB Scarf Hold,1,3:39
Aleksei Oleinik,Serghei Spivac,loss,0 0,59 71,1 0,1 0,UFC Fight Night: Jung vs. Ige,"June. 19, 2021",U-DEC,3,5:00
Aleksei Oleinik,Chris Daukaus,loss,0 0,5 34,0 0,0 0,UFC Fight Night: Blaydes vs. Lewis,"February. 20, 2021",KO/TKO Punches,1,1:55
Aleksei Oleinik,Derrick Lewis,loss,0 1,2 35,1 1,2 0,UFC Fight Night: Lewis vs. Oleinik,"August. 8, 2020",KO/TKO Punches,2,0:21
Aleksei Oleinik,Fabricio Werdum,win,0 0,94 53,0 3,0 1,UFC 249: Ferguson vs. Gaethje,"May. 9, 2020",S-DEC,3,5:00
Aleksei Oleinik,Maurice Greene,win,0 0,7 13,3 0,3 0,UFC 246: McGregor vs. Cowboy,"January. 18, 2020",SUB Armbar,2,4:38
Aleksei Oleinik,Walt Harris,loss,0 1,1 4,0 0,0 0,UFC Fight Night: Dos Anjos vs. Edwards,"July. 20, 2019",KO/TKO Punch,1,0:12
Aleksei Oleinik,Alistair Overeem,loss,0 1,38 29,0 0,0 0,UFC Fight Night: Overeem vs. Oleinik,"April. 20, 2019",KO/TKO Knee,1,4:45
Aleksei Oleinik,Mark Hunt,win,0 0,3 6,1 0,1 0,UFC Fight Night: Hunt vs. Oleinik,"September. 15, 2018",SUB Rear Naked Choke,1,4:26
Aleksei Oleinik,Junior Albini,win,0 0,10 10,0 1,1 0,UFC 224: Nunes vs. Pennington,"May. 12, 2018",SUB Ezekiel Choke,1,1:45
Aleksei Oleinik,Curtis Blaydes,loss,0 1,34 39,0 4,0 0,UFC 217: Bisping vs. St-Pierre,"November. 4, 2017",KO/TKO,2,1:39
Aleksei Oleinik,Travis Browne,win,1 1,53 35,3 1,2 0,UFC 213: Romero vs. Whittaker,"July. 8, 2017",SUB Rear Naked Choke,2,3:44
Aleksei Oleinik,Viktor Pesta,win,0 0,7 7,0 1,1 0,UFC Fight Night: Rodriguez vs. Penn,"January. 15, 2017",SUB Ezekiel Choke,1,2:57
Aleksei Oleinik,Daniel Omielanczuk,loss,0 0,8 26,4 1,2 0,UFC Fight Night: McDonald vs. Lineker,"July. 13, 2016",M-DEC,3,5:00
Aleksei Oleinik,Jared Rosholt,win,1 0,13 19,0 0,0 0,UFC Fight Night: Edgar vs Swanson,"November. 22, 2014",KO/TKO Punch,1,3:21
Aleksei Oleinik,Anthony Hamilton,win,0 0,10 6,1 0,1 0,UFC Fight Night: Swanson vs Stephens,"June. 28, 2014",SUB Scarf Hold,1,2:18
Michal Oleksiejczuk,Gerald Meerschaert,win,1 0,23 3,0 0,0 0,UFC 319: Du Plessis vs. Chimaev,"August. 16, 2025",KO/TKO Punches,1,3:03
Michal Oleksiejczuk,Sedriques Dumas,win,1 0,34 3,0 0,0 0,UFC 314: Volkanovski vs. Lopes,"April. 12, 2025",KO/TKO Punches,1,2:49
Michal Oleksiejczuk,Shara Magomedov,loss,0 0,77 97,3 0,0 0,UFC Fight Night: Sandhagen vs. Nurmagomedov,"August. 3, 2024",U-DEC,3,5:00
Michal Oleksiejczuk,Kevin Holland,loss,0 0,8 8,0 0,0 1,UFC 302: Makhachev vs. Poirier,"June. 1, 2024",SUB Armbar,1,1:34
Michal Oleksiejczuk,Michel Pereira,loss,0 0,1 11,0 0,0 1,UFC 299: O'Malley vs. Vera 2,"March. 9, 2024",SUB Rear Naked Choke,1,1:01
Michal Oleksiejczuk,Chidi Njokuani,win,0 0,44 29,1 0,0 0,UFC Fight Night: Holloway vs. The Korean Zombie,"August. 26, 2023",KO/TKO Punches,1,4:16
Michal Oleksiejczuk,Caio Borralho,loss,0 0,30 34,0 3,0 1,UFC Fight Night: Song vs. Simon,"April. 29, 2023",SUB Rear Naked Choke,2,2:49
Michal Oleksiejczuk,Cody Brundage,win,0 0,15 0,0 3,0 0,UFC Fight Night: Cannonier vs. Strickland,"December. 17, 2022",KO/TKO Punch,1,3:16
Michal Oleksiejczuk,Sam Alvey,win,2 0,22 3,0 0,0 0,UFC Fight Night: Santos vs. Hill,"August. 6, 2022",KO/TKO Punch,1,1:56
Michal Oleksiejczuk,Dustin Jacoby,loss,0 0,69 89,1 1,0 0,UFC 272: Covington vs. Masvidal,"March. 5, 2022",U-DEC,3,5:00
Michal Oleksiejczuk,Shamil Gamzatov,win,1 0,32 35,0 0,0 0,UFC 267: Blachowicz vs. Teixeira,"October. 30, 2021",KO/TKO Punch,1,3:31
Michal Oleksiejczuk,Modestas Bukauskas,win,0 0,56 58,0 0,0 0,UFC 260: Miocic vs. Ngannou,"March. 27, 2021",S-DEC,3,5:00
Michal Oleksiejczuk,Jimmy Crute,loss,0 0,3 2,0 8,0 1,UFC Fight Night: Felder vs. Hooker,"February. 22, 2020",SUB Kimura,1,3:29
Michal Oleksiejczuk,Ovince Saint Preux,loss,0 0,37 14,0 1,0 1,UFC Fight Night: Hermansson vs. Cannonier,"September. 28, 2019",SUB Von Flue Choke,2,2:46
Michal Oleksiejczuk,Gadzhimurad Antigulov,win,3 0,8 6,0 0,0 0,UFC Fight Night: Overeem vs. Oleinik,"April. 20, 2019",KO/TKO Punch,1,0:44
Michal Oleksiejczuk,Gian Villante,win,1 0,14 9,0 0,0 0,UFC Fight Night: Blachowicz vs. Santos,"February. 23, 2019",KO/TKO Punch,1,1:34
Michal Oleksiejczuk,Khalil Rountree Jr.,nc,0 0,76 52,2 0,0 1,UFC 219: Cyborg vs. Holm,"December. 30, 2017",Overturned,3,5:00
Cezary Oleksiejczuk,Cesar Almeida,win,0 0,14 12,6 0,0 0,UFC Fight Night: Royval vs. Kape,"December. 13, 2025",U-DEC,3,5:00
Cezary Oleksiejczuk,Theo Haig,win,0 0,17 0,0 0,0 0,DWCS 9.4,"September. 2, 2025",KO/TKO Punch,1,0:36
Rafaello Oliveira,Erik Koch,loss,0 1,1 19,0 0,0 0,UFC 170: Rousey vs McMann,"February. 22, 2014",KO/TKO Punches,1,1:24
Rafaello Oliveira,Edson Barboza,loss,0 1,19 49,0 0,0 0,UFC 162: Silva vs Weidman,"July. 6, 2013",KO/TKO Kicks,2,1:44
Rafaello Oliveira,Yoislandy Izquierdo,win,0 0,29 27,4 0,5 0,UFC 148: Silva vs Sonnen 2,"July. 7, 2012",U-DEC,3,5:00
Rafaello Oliveira,Yves Edwards,loss,0 2,22 42,0 0,0 0,UFC Live: Cruz vs Johnson,"October. 1, 2011",KO/TKO Kick,2,2:44
Rafaello Oliveira,Gleison Tibau,loss,0 1,12 19,0 3,0 2,UFC 130: Rampage vs Hamill,"May. 28, 2011",SUB Rear Naked Choke,2,3:28
Rafaello Oliveira,Andre Winner,loss,0 0,52 61,0 0,0 0,UFC Fight Night: Florian vs Gomi,"March. 31, 2010",U-DEC,3,5:00
Rafaello Oliveira,John Gunderson,win,0 0,21 1,6 1,4 4,UFC 108: Evans vs Silva,"January. 2, 2010",U-DEC,3,5:00
Rafaello Oliveira,Nik Lentz,loss,0 0,29 67,4 4,0 4,UFC 103: Franklin vs Belfort,"September. 19, 2009",U-DEC,3,5:00
Charles Oliveira,Mateusz Gamrot,win,0 0,11 18,1 1,1 0,UFC Fight Night: Oliveira vs. Gamrot,"October. 11, 2025",SUB Rear Naked Choke,2,2:48
Charles Oliveira,Ilia Topuria,loss,0 1,9 21,0 0,0 0,UFC 317: Topuria vs. Oliveira,,KO/TKO Punch,1,2:27
Charles Oliveira,Michael Chandler,win,0 0,88 84,5 0,2 0,UFC 309: Jones vs. Miocic,"November. 16, 2024",U-DEC,5,5:00
Charles Oliveira,Arman Tsarukyan,loss,0 0,19 49,0 2,4 0,UFC 300: Pereira vs. Hill,"April. 13, 2024",S-DEC,3,5:00
Charles Oliveira,Beneil Dariush,win,1 0,26 12,0 0,0 0,UFC 289: Nunes vs. Aldana,"June. 10, 2023",KO/TKO Punches,1,4:10
Charles Oliveira,Islam Makhachev,loss,0 1,19 30,0 2,0 1,UFC 280: Oliveira vs. Makhachev,,SUB Arm Triangle,2,3:16
Charles Oliveira,Justin Gaethje,win,1 1,30 21,0 0,2 0,UFC 274: Oliveira vs. Gaethje,"May. 7, 2022",SUB Rear Naked Choke,1,3:22
Charles Oliveira,Dustin Poirier,win,0 1,73 58,0 0,3 0,UFC 269: Oliveira vs. Poirier,,SUB Rear Naked Choke,3,1:02
Charles Oliveira,Michael Chandler,win,2 0,24 30,1 0,0 1,UFC 262: Oliveira vs. Chandler,,KO/TKO Punch,2,0:19
Charles Oliveira,Tony Ferguson,win,0 0,41 19,3 0,3 0,UFC 256: Figueiredo vs. Moreno,"December. 12, 2020",U-DEC,3,5:00
Charles Oliveira,Kevin Lee,win,0 0,43 41,0 2,2 0,UFC Fight Night: Lee vs. Oliveira,"March. 14, 2020",SUB Guillotine Choke,3,0:28
Charles Oliveira,Jared Gordon,win,1 0,10 7,0 0,0 0,UFC Fight Night: Blachowicz vs. Jacare,"November. 16, 2019",KO/TKO Punch,1,1:26
Charles Oliveira,Nik Lentz,win,1 0,38 18,0 2,1 0,UFC Fight Night: Dos Anjos vs. Lee,"May. 18, 2019",KO/TKO Punch,2,2:11
Charles Oliveira,David Teymur,win,0 1,28 26,1 0,1 0,UFC Fight Night: Assuncao vs. Moraes 2,"February. 2, 2019",SUB Anaconda Choke,2,0:55
Charles Oliveira,Jim Miller,win,0 0,0 1,1 0,1 0,UFC Fight Night: Lee vs. Iaquinta,"December. 15, 2018",SUB Rear Naked Choke,1,1:15
