reach_diff,age_diff,height_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,str_def_total_diff,td_avg_diff,td_acc_total_diff,td_def_total_diff,sub_avg_diff,wins_total_diff,losses_total_diff,target
-17.78,9.0,-5.0800000000000125,-0.3999999999999994,2.8500000000000005,-0.02,-0.0499999999999999,-1.9,-0.28,0.0699999999999999,0.0,8,7,0
-7.6200000000000045,-8.0,-2.5400000000000205,0.6400000000000006,-0.1599999999999997,-0.06,0.0099999999999999,2.52,0.2399999999999999,-0.24,0.0,-1,5,0
-2.5400000000000205,1.0,2.539999999999992,0.0900000000000007,-0.5499999999999998,0.04,-0.03,0.8,0.11,0.4599999999999999,0.7,11,4,1
12.700000000000015,1.0,7.6200000000000045,18.78,1.79,0.29,0.19,-0.98,-0.33,-0.46,-0.2,-10,-8,1
7.6200000000000045,2.0,5.079999999999984,2.22,3.2,-0.02,-0.01,-7.12,-0.57,0.6,-1.1,-7,3,0
-5.0800000000000125,6.0,-2.5400000000000205,2.6799999999999997,0.0,0.18,0.0,0.8200000000000001,0.31,0.1599999999999999,-0.3,6,2,1
0.0,2.0,-5.079999999999984,0.81,-1.9500000000000008,0.0499999999999999,0.0499999999999999,-0.53,-0.14,-0.25,-0.5,2,4,1
-5.079999999999984,-6.0,-2.539999999999992,-0.1599999999999997,0.1,-0.1399999999999999,-0.11,3.0999999999999996,0.38,0.2099999999999999,0.0,1,-5,1
-12.700000000000015,9.0,-2.5400000000000205,2.59,1.78,-0.0199999999999999,0.02,-3.49,0.03,0.82,0.0,12,8,0
2.539999999999992,2.0,2.539999999999992,4.55,-3.97,0.51,0.46,4.51,0.56,1.0,0.6,6,-2,1
5.0800000000000125,6.0,0.0,-0.3399999999999998,0.9199999999999996,-0.0999999999999999,0.0,-1.1,0.14,-0.27,0.1999999999999999,4,7,0
-12.699999999999989,1.0,-2.5400000000000205,0.7600000000000002,0.5499999999999998,0.0,0.0,0.53,-0.14,0.12,0.0,3,-3,1
10.160000000000023,5.0,7.6200000000000045,2.36,-1.6199999999999997,-0.05,-0.03,-1.37,-0.25,-0.0999999999999999,0.0,9,0,1
-2.539999999999992,8.0,-2.539999999999992,-1.99,0.6399999999999997,-0.1,0.0899999999999999,-1.5,-0.24,-0.0599999999999999,-0.2,-3,1,1
5.079999999999984,-3.0,2.5400000000000205,2.37,-1.0800000000000003,0.1099999999999999,0.2,-0.11,-0.36,-0.16,0.0,-1,-4,1
